company,inn,title,description,requirements,age_days,posts_per_day,ip_blacklisted,complaints,label
ООО КРОК,3515837765,Технический писатель,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",2131,2,0,0,0
ПАО Газпром,8726257018,Технический писатель,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Опыт от 3 лет, профильное образование, знание английского.",1756,5,0,0,0
АО ВТБ,8347156626,QA-инженер,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",2108,3,0,0,0
АО ВТБ,9969083573,Product Manager,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Портфолио, опыт коммерческой разработки, знание Git.",785,1,0,0,0
ООО Деньги Сразу,5289311320,Работа с высокой оплатой без опыта,"СРОЧНО! Требуются люди для简单 работы. Оплата 5000 руб/день. Без опыта, без вложений. Писать в телеграм @easy_money. Работа из дома, свободный график. Звоните прямо сейчас!",Никаких навыков не требуется!,54,30,0,4,1
ООО Яндекс,1527740250,Product Manager,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Опыт администрирования Linux, знание сетей, ответственность.",2230,4,0,0,0
ПАО Газпром,9425799139,Frontend-разработчик,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",1729,3,0,0,0
ПАО Сбербанк,2811437444,Бизнес-аналитик,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",2081,0,0,0,0
ИП Сидоров,8148552457,"Свободный график, оплата сразу",Набор сотрудников для удалённой работы. Оплата 3000 руб за 2 часа. Никаких навыков не требуется. Срочно! Пишите в Telegram. Работа из любой точки мира.,Срочно! Наличие свободного времени.,49,45,1,3,1
ООО КРОК,9671632340,Frontend-разработчик,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",1950,5,0,0,0
ООО Рога и Копыта,8519102312,Набор менеджеров без опыта,Свободная подработка! Оплата ежедневно 2000-5000 руб. Без опыта и вложений. Быстрое оформление. Звоните с 9 до 21. Количество мест ограничено.,Без опыта! Обучим всему за 1 день!,5,15,0,8,1
ИП Иванов,3285011688,"Свободный график, оплата сразу",Свободная подработка! Оплата ежедневно 2000-5000 руб. Без опыта и вложений. Быстрое оформление. Звоните с 9 до 21. Количество мест ограничено.,Срочно! Наличие свободного времени.,1,49,1,4,1
ООО МТС,4326831907,Backend-разработчик,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Портфолио, опыт коммерческой разработки, знание Git.",2756,5,0,0,0
ПАО Сбербанк,1720064257,Бизнес-аналитик,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт администрирования Linux, знание сетей, ответственность.",1782,4,0,0,0
ПАО Газпром,2652669302,Системный администратор,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",274,4,0,0,0
АО Альфа-Банк,8968845788,DevOps-инженер,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",1110,0,0,0,0
ООО МТС,3025909474,Python-разработчик,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт администрирования Linux, знание сетей, ответственность.",3415,4,0,0,0
ООО МТС,5588105693,Product Manager,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",2171,2,0,0,0
ООО КРОК,5817058021,QA-инженер,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",1518,3,0,0,0
ООО Лёгкий Заработок,3711221820,Работа с высокой оплатой без опыта,Свободная подработка! Оплата ежедневно 2000-5000 руб. Без опыта и вложений. Быстрое оформление. Звоните с 9 до 21. Количество мест ограничено.,Без опыта! Обучим всему за 1 день!,60,25,0,7,1
ПАО Газпром,9757215860,Frontend-разработчик,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",760,2,0,0,0
ООО Быстрые Деньги,6409150863,Простая работа на дому,"Работа мечты! Гибкий график, высокая оплата, без начальников. Требуются люди с 18 лет. Оплата сразу после смены. Подробности в личные сообщения.","Ответственность, желание зарабатывать, без опыта.",11,15,1,3,1
ПАО Газпром,3045053311,DevOps-инженер,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Опыт администрирования Linux, знание сетей, ответственность.",1628,4,0,0,0
ПАО Газпром,7100231170,Бизнес-аналитик,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",2962,3,0,0,0
АО Лаборатория Касперского,8701436343,DevOps-инженер,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Опыт администрирования Linux, знание сетей, ответственность.",2899,4,0,0,0
ООО Skillbox,2888880673,Аналитик данных,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Портфолио, опыт коммерческой разработки, знание Git.",358,5,0,0,0
ООО МТС,3126464711,QA-инженер,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт администрирования Linux, знание сетей, ответственность.",1659,2,0,0,0
АО Альфа-Банк,8588425240,Frontend-разработчик,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",3182,0,0,0,0
АО Альфа-Банк,9621102259,Frontend-разработчик,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт администрирования Linux, знание сетей, ответственность.",2228,0,0,0,0
АО ВТБ,1545228012,Менеджер проектов,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Опыт от 3 лет, профильное образование, знание английского.",1563,3,0,0,0
ООО Тинькофф,2718702627,DevOps-инженер,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Портфолио, опыт коммерческой разработки, знание Git.",486,3,0,0,0
АО ВТБ,4227026723,DevOps-инженер,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Опыт администрирования Linux, знание сетей, ответственность.",2763,4,0,0,0
ООО Skillbox,2509976832,Технический писатель,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт администрирования Linux, знание сетей, ответственность.",2242,4,0,0,0
АО Альфа-Банк,9463122411,Product Manager,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Портфолио, опыт коммерческой разработки, знание Git.",2788,3,0,0,0
ООО Золотая Жила,9373792749,"Свободный график, оплата сразу","СРОЧНО! Требуются люди для简单 работы. Оплата 5000 руб/день. Без опыта, без вложений. Писать в телеграм @easy_money. Работа из дома, свободный график. Звоните прямо сейчас!",Без опыта! Обучим всему за 1 день!,55,13,1,4,1
ИП Петров А.А.,4470574233,Набор менеджеров без опыта,"Работа мечты! Гибкий график, высокая оплата, без начальников. Требуются люди с 18 лет. Оплата сразу после смены. Подробности в личные сообщения.","Возраст от 18 лет, наличие телефона.",35,45,1,7,1
ООО КРОК,7253244723,Backend-разработчик,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Опыт администрирования Linux, знание сетей, ответственность.",321,4,0,0,0
ПАО Газпром,8993136560,Аналитик данных,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Опыт от 3 лет, профильное образование, знание английского.",1508,0,0,0,0
АО ВТБ,5546156791,Менеджер проектов,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",1176,5,0,0,0
ООО Работа Мечты,5479513305,"Свободный график, оплата сразу","СРОЧНО! Требуются люди для简单 работы. Оплата 5000 руб/день. Без опыта, без вложений. Писать в телеграм @easy_money. Работа из дома, свободный график. Звоните прямо сейчас!","Ответственность, желание зарабатывать, без опыта.",14,14,1,6,1
ООО Лёгкий Заработок,8768089812,Работа с высокой оплатой без опыта,Свободная подработка! Оплата ежедневно 2000-5000 руб. Без опыта и вложений. Быстрое оформление. Звоните с 9 до 21. Количество мест ограничено.,Срочно! Наличие свободного времени.,59,34,1,9,1
ИП Иванов,7212760253,"Свободный график, оплата сразу","Работа мечты! Гибкий график, высокая оплата, без начальников. Требуются люди с 18 лет. Оплата сразу после смены. Подробности в личные сообщения.","Возраст от 18 лет, наличие телефона.",2,44,0,8,1
ПАО Сбербанк,3365199415,Python-разработчик,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",269,0,0,0,0
ООО Skillbox,6877175356,Системный администратор,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Портфолио, опыт коммерческой разработки, знание Git.",1461,3,0,0,0
ООО 1С,2836736573,Бизнес-аналитик,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Опыт от 3 лет, профильное образование, знание английского.",1813,3,0,0,0
ООО МТС,7674286045,Backend-разработчик,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",3445,3,0,0,0
ПАО Сбербанк,7724380705,Аналитик данных,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Портфолио, опыт коммерческой разработки, знание Git.",479,5,0,0,0
ПАО Газпром,4911192696,Аналитик данных,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",3469,1,0,0,0
ПАО Ростелеком,8047743493,Data Scientist,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",432,1,0,0,0
АО Лаборатория Касперского,3660937966,Менеджер проектов,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",1772,0,0,0,0
ООО Тинькофф,9754181563,QA-инженер,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Опыт администрирования Linux, знание сетей, ответственность.",1048,1,0,0,0
ПАО Сбербанк,7758692614,Менеджер проектов,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",3594,3,0,0,0
ООО Тинькофф,1653074507,Бизнес-аналитик,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Опыт администрирования Linux, знание сетей, ответственность.",1563,2,0,0,0
АО Лаборатория Касперского,9963834657,DevOps-инженер,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Портфолио, опыт коммерческой разработки, знание Git.",1974,4,0,0,0
ООО Тинькофф,4517518300,Data Scientist,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Портфолио, опыт коммерческой разработки, знание Git.",1279,3,0,0,0
ООО Быстрые Деньги,8399006318,"Свободный график, оплата сразу","Работа мечты! Гибкий график, высокая оплата, без начальников. Требуются люди с 18 лет. Оплата сразу после смены. Подробности в личные сообщения.",Без опыта! Обучим всему за 1 день!,59,28,0,5,1
ИП Петров А.А.,8200784361,Работа мечты — 200000 руб/неделю,"СРОЧНО! Требуются люди для简单 работы. Оплата 5000 руб/день. Без опыта, без вложений. Писать в телеграм @easy_money. Работа из дома, свободный график. Звоните прямо сейчас!","Возраст от 18 лет, наличие телефона.",56,28,0,6,1
ИП Сидоров,5450566588,Простая работа на дому,"СРОЧНО! Требуются люди для简单 работы. Оплата 5000 руб/день. Без опыта, без вложений. Писать в телеграм @easy_money. Работа из дома, свободный график. Звоните прямо сейчас!",Никаких навыков не требуется!,47,22,0,10,1
ООО Тинькофф,2707587771,Технический писатель,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Опыт администрирования Linux, знание сетей, ответственность.",640,5,0,0,0
ООО МТС,4040785930,Frontend-разработчик,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Портфолио, опыт коммерческой разработки, знание Git.",833,0,0,0,0
АО Альфа-Банк,5422583134,Аналитик данных,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",3424,1,0,0,0
ООО КРОК,3649082770,QA-инженер,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт администрирования Linux, знание сетей, ответственность.",550,5,0,0,0
ПАО Ростелеком,8221704306,Product Manager,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Опыт администрирования Linux, знание сетей, ответственность.",3420,1,0,0,0
ООО Быстрые Деньги,4959473720,Работа с высокой оплатой без опыта,Набор сотрудников для удалённой работы. Оплата 3000 руб за 2 часа. Никаких навыков не требуется. Срочно! Пишите в Telegram. Работа из любой точки мира.,Никаких навыков не требуется!,45,17,1,5,1
ООО Skillbox,8452991249,Аналитик данных,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",622,4,0,0,0
ООО Яндекс,2316475251,Product Manager,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Портфолио, опыт коммерческой разработки, знание Git.",1635,1,0,0,0
ООО Тинькофф,9861015810,Data Scientist,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",2625,4,0,0,0
АО Лаборатория Касперского,4666845907,Product Manager,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Портфолио, опыт коммерческой разработки, знание Git.",2504,0,0,0,0
ООО Золотая Жила,3688122821,Подработка для всех,Набор сотрудников для удалённой работы. Оплата 3000 руб за 2 часа. Никаких навыков не требуется. Срочно! Пишите в Telegram. Работа из любой точки мира.,"Ответственность, желание зарабатывать, без опыта.",30,42,0,4,1
АО ВТБ,9421993304,Менеджер проектов,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Портфолио, опыт коммерческой разработки, знание Git.",2923,4,0,0,0
ПАО Газпром,6690705622,Backend-разработчик,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",1879,0,0,0,0
ООО Лёгкий Заработок,2768086628,Набор менеджеров без опыта,"СРОЧНО! Требуются люди для简单 работы. Оплата 5000 руб/день. Без опыта, без вложений. Писать в телеграм @easy_money. Работа из дома, свободный график. Звоните прямо сейчас!","Ответственность, желание зарабатывать, без опыта.",52,15,0,9,1
ООО КРОК,9388516069,Frontend-разработчик,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Опыт администрирования Linux, знание сетей, ответственность.",256,3,0,0,0
АО Лаборатория Касперского,3967175651,DevOps-инженер,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Портфолио, опыт коммерческой разработки, знание Git.",1495,5,0,0,0
ООО Быстрые Деньги,1376388210,Подработка для всех,Заработок от 100000 рублей в неделю! Никакого опыта не нужно. Обучим бесплатно. Оплата ежедневно. Пишите в WhatsApp. Количество мест ограничено!,"Ответственность, желание зарабатывать, без опыта.",17,33,1,6,1
ИП Сидоров,1559550178,Простая работа на дому,Заработок от 100000 рублей в неделю! Никакого опыта не нужно. Обучим бесплатно. Оплата ежедневно. Пишите в WhatsApp. Количество мест ограничено!,Никаких навыков не требуется!,12,23,0,7,1
ООО Деньги Сразу,5773522870,"Свободный график, оплата сразу",Свободная подработка! Оплата ежедневно 2000-5000 руб. Без опыта и вложений. Быстрое оформление. Звоните с 9 до 21. Количество мест ограничено.,"Возраст от 18 лет, наличие телефона.",20,36,0,4,1
ИП Сидоров,7772696089,"Свободный график, оплата сразу",Заработок от 100000 рублей в неделю! Никакого опыта не нужно. Обучим бесплатно. Оплата ежедневно. Пишите в WhatsApp. Количество мест ограничено!,Без опыта! Обучим всему за 1 день!,48,27,0,9,1
ООО КРОК,8229034942,DevOps-инженер,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Опыт от 3 лет, профильное образование, знание английского.",3099,5,0,0,0
ООО Тинькофф,8303379336,Аналитик данных,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Опыт от 3 лет, профильное образование, знание английского.",2149,5,0,0,0
ООО Деньги Сразу,2765397057,Заработок из дома 100000 руб/день,"СРОЧНО! Требуются люди для简单 работы. Оплата 5000 руб/день. Без опыта, без вложений. Писать в телеграм @easy_money. Работа из дома, свободный график. Звоните прямо сейчас!",Никаких навыков не требуется!,19,45,1,9,1
ПАО Сбербанк,2840943533,Системный администратор,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Опыт от 3 лет, профильное образование, знание английского.",968,2,0,0,0
ООО 1С,2515542343,Аналитик данных,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Опыт администрирования Linux, знание сетей, ответственность.",220,0,0,0,0
ООО Золотая Жила,7604432400,"Требуются люди, оплата ежедневно",Свободная подработка! Оплата ежедневно 2000-5000 руб. Без опыта и вложений. Быстрое оформление. Звоните с 9 до 21. Количество мест ограничено.,"Возраст от 18 лет, наличие телефона.",41,36,0,7,1
ПАО Сбербанк,7338392880,Аналитик данных,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",1880,5,0,0,0
ООО МТС,3503926146,DevOps-инженер,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Опыт от 3 лет, профильное образование, знание английского.",845,4,0,0,0
АО ВТБ,3649578230,Data Scientist,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",2852,1,0,0,0
